epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,1054.58,0.83665,0.50008,1.00215,0.7884,0.69648,0.79183,0.45537,1.46452,0.88684,1.44127,0.000445756,0.000445756,0.000445756
150,1062.35,0.7987,0.48833,0.98965,0.7519,0.70399,0.77798,0.45369,1.49482,0.89315,1.48725,0.000437504,0.000437504,0.000437504
151,1070.09,0.82717,0.4948,0.99261,0.83467,0.67715,0.79218,0.46862,1.48062,0.84945,1.50217,0.000429253,0.000429253,0.000429253
152,1077.87,0.82904,0.50016,0.9954,0.80746,0.70556,0.79397,0.46856,1.50527,0.8602,1.51686,0.000421001,0.000421001,0.000421001
153,1085.57,0.83744,0.50283,0.99071,0.77086,0.71535,0.78978,0.46688,1.49056,0.8753,1.49264,0.000412749,0.000412749,0.000412749
154,1093.42,0.80317,0.4837,0.98084,0.76642,0.69871,0.78089,0.46234,1.50932,0.87814,1.51881,0.000404498,0.000404498,0.000404498
155,1101.06,0.81056,0.48686,0.99265,0.81674,0.68182,0.79081,0.47151,1.47761,0.85875,1.49455,0.000396246,0.000396246,0.000396246
156,1108.78,0.81568,0.48164,0.99409,0.72575,0.74321,0.78871,0.46209,1.49403,0.87334,1.49538,0.000387994,0.000387994,0.000387994
157,1116.38,0.8081,0.48152,0.98748,0.77629,0.72344,0.79446,0.46651,1.48727,0.86433,1.48504,0.000379743,0.000379743,0.000379743
158,1124.08,0.808,0.48084,0.97924,0.82516,0.69423,0.7953,0.47145,1.46428,0.86721,1.461,0.000371491,0.000371491,0.000371491
159,1131.78,0.79042,0.46257,0.97881,0.79417,0.69553,0.77946,0.45727,1.51159,0.90183,1.50748,0.000363239,0.000363239,0.000363239
